timestamp,instance_count,seq_reached,seq_current,seq_total,item_changed_index,item_do_jump_remaining,valid,warning,finished,failure,stay_in_failsafe,flight_termination,item_do_jump_changed,execution_mode
37824363,2,-1,0,7,0,0,1,0,0,0,0,0,0,0
42832155,2,-1,0,7,0,0,1,0,0,0,0,0,0,0
42842909,2,0,1,7,0,0,1,0,0,0,0,0,0,0
71621217,2,0,1,7,0,0,1,0,0,0,0,0,0,0
80272997,2,1,2,7,0,0,1,0,0,0,0,0,0,0
98318141,2,2,3,7,0,0,1,0,0,0,0,0,0,0
140679387,2,3,4,7,0,0,1,0,0,0,0,0,0,0
156748237,2,4,5,7,0,0,1,0,0,0,0,0,0,0
172942197,2,5,6,7,0,0,1,0,0,0,0,0,0,0
195762222,2,6,6,7,0,0,1,0,0,0,0,0,0,0
268441392,3,-1,0,7,0,0,1,0,0,0,0,0,0,0
